month,model,n_obs,direction_accuracy,balanced_accuracy,f1_positive,mcc,rmse_return,mae_return
2023-06,Market-only Ridge/LogReg,22,0.6363636363636364,0.6333333333333333,0.6666666666666666,0.26666666666666666,0.0199388024832943,0.015199113798649421
2023-06,Naive previous return,22,0.5,0.5,0.5217391304347826,0.0,0.027390649546968696,0.024018681764919867
2023-06,VAR market system,22,0.5454545454545454,0.5333333333333333,0.6153846153846154,0.06900655593423542,0.019682961369434513,0.015485421056886767
2023-06,VARX/Ridge news system,22,0.6818181818181818,0.6666666666666667,0.7407407407407407,0.3563483225498992,0.020117215697848516,0.015370841771637129
2023-07,ARIMAX market,21,0.42857142857142855,0.45,0.5,-0.09128709291752768,0.016971742035033276,0.014666799295044306
2023-07,ARIMAX simple news,21,0.47619047619047616,0.43333333333333335,0.5925925925925926,-0.12171612389003691,0.014942658837699239,0.0122843489058118
2023-07,LLM multi-agent hybrid,21,0.42857142857142855,0.35,0.5714285714285714,-0.279078152825719,0.019908864680615368,0.01711319493870905
2023-07,Market-only Ridge/LogReg,21,0.5238095238095238,0.5166666666666666,0.6153846153846154,0.03015113445777636,0.01579552223975962,0.013886373688451007
2023-07,Naive previous return,21,0.6190476190476191,0.5333333333333333,0.7333333333333333,0.06666666666666667,0.01957963106718985,0.01652011381032277
2023-07,VAR market system,21,0.7619047619047619,0.6333333333333333,0.8484848484848485,0.3442651863295482,0.01498806983386214,0.01240996280328877
2023-07,VARX/Ridge news system,21,0.42857142857142855,0.45,0.5,-0.09128709291752768,0.018566062532745762,0.015477861826172109
2023-08,ARIMAX market,23,0.391304347826087,0.45,0.0,-0.24308621740219885,0.016380463276783445,0.01405286842070435
2023-08,ARIMAX simple news,23,0.21739130434782608,0.23846153846153847,0.1,-0.5635445125120265,0.016169207042444934,0.01400415510117032
2023-08,LLM multi-agent hybrid,23,0.5652173913043478,0.5461538461538462,0.6428571428571429,0.09607689228305229,0.016722718271848368,0.014360469673093656
2023-08,Market-only Ridge/LogReg,23,0.391304347826087,0.40384615384615385,0.36363636363636365,-0.1953363462243731,0.015483861819437228,0.013109649584869123
2023-08,Naive previous return,23,0.391304347826087,0.38076923076923075,0.46153846153846156,-0.23846153846153847,0.020540804432989675,0.017389756426691876
2023-08,VAR market system,23,0.5217391304347826,0.46153846153846156,0.6857142857142857,-0.18698939800169143,0.013859869459760116,0.011821268347434775
2023-08,VARX/Ridge news system,23,0.5217391304347826,0.5076923076923077,0.5925925925925926,0.015626907697949846,0.015543093142437006,0.013559591559891475
2023-09,ARIMAX market,21,0.42857142857142855,0.5357142857142857,0.3333333333333333,0.08574929257125442,0.014601016362329553,0.010941204445142258
